idade,estado,escolaridade,renda_mensal,tempo_emprego_anos,score_credito,valor_solicitado,prazo_meses,finalidade,dividas_ativas,inadimplente
26,BA,Ensino Médio,3329.79,14,670,15972.09,36,Veículo,4,1
73,TO,Ensino Médio,3397.08,18,757,10810.87,24,Viagem,0,0
21,SE,Ensino Superior,2513.66,2,808,16418.48,48,Veículo,7,0
29,SC,Ensino Médio,13292.83,25,475,9149.12,48,Veículo,1,1
32,MS,Ensino Médio,4601.7,20,697,20398.27,24,Educação,5,0
26, MT  ,Ensino Superior,6561.63,9,777,13590.31,12,Outros,0,0
39,GO,Ensino Superior,10494.81,6,566,10488.55,6,Educação,3,0
23,RO,Ensino Fundamental,4226.04,6,783,8090.93,24,Veículo,5,0
48,RS,Pós-graduação,5276.84,5,697,8502.56,36,Reforma,1,0
73,AC,Ensino Médio,2899.83,9,560,3551.11,48,Outros,2,0
34,TO,Ensino Médio,2886.15,21,535,13820.16,36,Reforma,5,1
72,PR,Pós-graduação,5902.3,2,577,16548.85,48,Reforma,2,0
31,AM,Ensino Médio,3942.99,15,850,4131.44,60,Veículo,1,0
24,AM,Pós-graduação,3362.72,11,657,13815.93,48,Outros,5,0
44,SP,Ensino Superior,4596.16,15,503,8844.04,18,Outros,0,1
66,SP,Ensino Superior,4401.5,1,592,24051.06,60,Outros,0,0
36,RO,Pós-graduação,3111.33,24,637,21270.3,18,Reforma,3,1
26,PB,Ensino Superior,4154.14,7,710,7294.99,6,Veículo,2,0
43,SP,Pós-graduação,2045.06,4,543,7992.08,36,Outros,1,0
25,PB,Ensino Médio,5132.62,22,727,6147.23,36,Viagem,3,0
32,GO,Ensino Superior,3736.65,25,725,10324.86,60,Saúde,1,0
75,MT,Ensino Superior,3793.15,13,795,15873.43,24,Veículo,0,0
72,GO,Ensino Médio,3616.87,12,595,15999.98,24,Reforma,0,0
38,CE,Ensino Médio,1752.71,6,669,8834.09,12,Veículo,2,1
49,BA,Pós-graduação,3234.67,25,495,3591.16,36,Viagem,3,0
43,MS,Ensino Superior,2709.31,4,653,5118.36,24,Educação,2,1
51, PI  ,Ensino Superior,1357.37,5,622,19908.4,36,Reforma,3,1
20,TO,Ensino Médio,2741.9,13,545,26160.64,36,Educação,3,0
42,RR,Ensino Superior,5126.25,18,571,19301.2,48,Educação,4,1
27,MT,Ensino Superior,4320.67,15,651,10779.17,36,Viagem,0,0
49,PI,Ensino Superior,4302.47,15,765,12966.25,36,Outros,4,0
67,RN,Ensino Médio,3666.97,16,805,14968.57,48,Saúde,5,0
29,BA,Ensino Superior,4733.57,8,648,13922.01,36,Educação,0,0
58,CE,Ensino Médio,2161.12,16,805,15285.75,36,Reforma,1,0
67,DF,Ensino Superior,3014.24,2,590,13943.59,48,Veículo,0,1
64,MT,Pós-graduação,2889.82,16,673,13811.08,24,Viagem,2,0
32,RO,Ensino Médio,2223.14,23,738,22738.45,36,Outros,0,0
45,PR,Pós-graduação,1313.19,24,598,7218.12,18,Veículo,4,1
23,PI,Ensino Fundamental,7040.9,16,550,15816.53,12,Reforma,4,0
23,MS,Ensino Fundamental,4642.98,6,416,9241.74,48,Reforma,3,1
45,ES,Ensino Fundamental,5103.54,12,647,15226.66,36,Veículo,3,0
75,MT,Ensino Superior,10011.12,24,553,5407.12,24,Saúde,0,0
74,AL,Ensino Superior,3613.07,9,773,4936.33,24,Saúde,5,0
50,MS,Ensino Superior,1463.27,4,512,21528.37,18,Viagem,1,1
30,PB,Ensino Superior,3804.77,6,652,8251.7,36,Reforma,0,0
32,AC,Pós-graduação,3324.84,15,712,8420.07,12,Veículo,2,1
73,RJ,Ensino Superior,13623.53,18,626,10471.65,36,Veículo,0,0
21,RS,Ensino Superior,2289.5,8,556,4028.93,36,Reforma,7,1
75,RO,Ensino Superior,2557.52,21,607,13377.66,24,Saúde,2,1
44,DF,Ensino Superior,1516.64,13,560,8246.67,36,Veículo,3,1
60,BA,Ensino Médio,5063.78,8,744,9498.02,24,Reforma,1,0
20,RN,Ensino Médio,11876.85,13,535,21886.82,12,Educação,1,1
71,PR,Pós-graduação,2664.72,25,640,5620.45,24,Saúde,0,1
71,TO,Ensino Superior,4334.97,10,638,13409.04,36,Viagem,3,1
53,DF,Ensino Superior,10391.59,23,564,13470.7,36,Veículo,2,1
53,MT,Ensino Fundamental,4406.38,4,701,10665.58,48,Outros,3,1
18,PI,Ensino Superior,14707.12,15,651,4796.33,36,Reforma,0,0
41,RN,Ensino Superior,1141.55,3,635,11797.41,36,Outros,5,0
37,PR,Ensino Médio,11046.83,22,629,7122.92,18,Reforma,2,0
42,DF,Ensino Superior,2726.04,21,566,23986.35,36,Outros,2,1
24,SP,Ensino Médio,2428.23,10,763,12816.66,36,Outros,2,0
54,RJ,Pós-graduação,1448.53,11,598,34936.02,48,Veículo,1,1
59, RO ,Ensino Superior,7132.01,1,595,26409.62,36,Reforma,0,0
33,PA,Ensino Fundamental,2715.23,16,774,19216.34,36,Educação,0,0
37,RN,Ensino Superior,998.09,22,692,23982.03,12,Outros,0,1
46,ES,Ensino Fundamental,2703.72,5,721,4047.3,12,Viagem,2,0
30,PA,Ensino Superior,8868.11,18,759,17705.5,36,Educação,1,0
62,RS,Ensino Médio,7597.36,20,667,7670.72,18,Educação,0,0
31,PB,Ensino Médio,22983.48,14,694,16824.92,24,Outros,0,0
37,AL,Ensino Médio,4412.83,20,641,7998.67,36,Veículo,6,0
18,SP,Pós-graduação,4614.9,8,606,4661.68,48,Reforma,2,0
75,CE,Ensino Superior,19570.89,1,704,21873.11,24,Saúde,3,0
51,PE,Ensino Superior,2782.2,24,659,10599.14,36,Outros,0,0
43,MG,Ensino Superior,2493.99,16,563,6881.49,24,Outros,3,1
25,RJ,Ensino Médio,16078.15,17,475,4902.5,60,Outros,2,0
58,MS,Ensino Superior,4978.0,11,597,10889.01,36,Outros,6,1
29,AL,Pós-graduação,6903.65,2,627,8648.52,12,Reforma,0,0
39,RR,Ensino Médio,4736.78,14,652,7642.76,36,Educação,1,1
37,RJ,Ensino Médio,5841.84,24,554,40047.54,36,Viagem,0,0
26,AC,Ensino Médio,15776.1,10,581,7637.46,60,Reforma,0,1
52,DF,Ensino Médio,2641.19,24,644,12874.09,36,Outros,2,0
49,PB,Ensino Médio,3371.82,12,545,9384.45,36,Saúde,2,1
24,DF,Ensino Médio,7032.31,2,767,5317.76,36,Outros,4,0
58,MA,Ensino Médio,7278.01,6,517,21801.49,12,Outros,1,0
23,AL,Ensino Médio,3215.78,18,850,29888.54,6,Saúde,3,1
56,PI,Ensino Médio,4049.51,20,722,14397.06,48,Educação,3,1
39,SE,Ensino Superior,1779.28,7,687,20347.32,24,Viagem,0,1
42,GO,Ensino Médio,7017.14,1,549,7690.17,36,Saúde,0,0
67,PE,Pós-graduação,6422.5,1,583,33944.41,36,Outros,2,0
72,MA,Ensino Médio,3453.1,14,590,5964.21,24,Viagem,1,1
57,SE,Ensino Médio,3589.21,1,741,32914.89,6,Reforma,0,1
25,AC,Ensino Médio,7271.72,11,582,6023.99,60,Reforma,4,1
21,PE,Ensino Superior,4541.26,2,596,4889.69,60,Educação,3,0
42,GO,Ensino Médio,4376.33,24,721,6833.39,36,Saúde,3,0
36,SE,Ensino Fundamental,2999.62,16,548,12098.38,6,Outros,2,1
61,SP,Ensino Superior,6708.48,17,672,7229.98,12,Saúde,2,0
21,BA,Ensino Superior,1285.01,12,792,6058.01,48,Viagem,0,1
28,RO,Ensino Superior,3548.06,18,660,20519.99,18,Educação,2,0
31,AM,Ensino Médio,2116.84,9,757,18918.24,60,Outros,0,0
50,GO,Ensino Superior,2447.53,18,673,30673.3,18,Outros,2,0
72,PA,Ensino Superior,14726.46,23,841,18883.31,12,Veículo,4,0
44,GO,Ensino Fundamental,1869.08,10,725,31328.66,36,Reforma,2,0
24,GO,Pós-graduação,6153.15,8,681,6362.49,60,Reforma,3,0
51,SP,Pós-graduação,8541.39,12,579,21525.39,36,Saúde,0,1
53,PA,Ensino Superior,8626.44,20,624,9498.99,6,Veículo,0,0
39,AL,Ensino Superior,5516.85,13,745,11995.22,60,Veículo,5,1
56,TO,Ensino Médio,2917.18,2,727,10205.12,12,Outros,1,0
73,DF,Ensino Superior,2636.83,7,609,13087.91,48,Saúde,0,1
500,MT,Ensino Superior,2493.59,2,758,15382.55,18,Educação,0,0
21,RO,Ensino Médio,4963.17,3,712,5609.13,6,Educação,1,0
39,RJ,Ensino Superior,15274.07,13,659,6092.65,36,Outros,0,0
37,ES,Ensino Médio,3195.61,1,743,6109.46,18,Outros,1,0
23,SC,Ensino Médio,15541.61,11,640,11275.57,36,Reforma,1,0
25,ES,Ensino Superior,2344.97,22,566,26010.08,48,Veículo,3,0
75,TO,Ensino Médio,5801.35,13,612,9620.48,36,Saúde,4,1
42,SC,Ensino Médio,2215.19,11,491,7376.76,18,Outros,3,1
33,AM,Ensino Superior,3175.29,1,684,9374.83,36,Saúde,1,0
35,TO,Ensino Superior,3122.85,5,583,8052.54,24,Viagem,3,1
69,RS,Ensino Superior,1831.31,3,767,19406.61,24,Veículo,6,1
72,RO,Ensino Superior,13482.46,23,746,10457.9,60,Veículo,2,0
29,AP,Ensino Superior,3140.36,10,761,25327.55,36,Outros,4,1
53,AM,Ensino Superior,2050.3,8,646,8164.72,48,Reforma,1,0
32,AP,Ensino Médio,13387.88,15,787,33674.04,36,Saúde,1,0
43,PI,Ensino Médio,1730.89,4,803,8277.25,36,Viagem,2,0
58,SP,Ensino Superior,7043.83,13,682,35727.54,36,Reforma,1,0
23,PR,Ensino Superior,2697.05,9,676,8595.24,36,Outros,0,0
63,SC,Ensino Médio,1386.69,1,685,10330.55,60,Reforma,1,0
75,RN,Ensino Médio,5507.28,13,738,11708.66,12,Saúde,0,0
24,RR,Ensino Superior,1830.68,19,680,10593.47,24,Veículo,1,0
26,PI,Ensino Médio,3821.3,22,749,12833.24,24,Educação,1,0
57,AC,Ensino Médio,2737.18,20,740,12218.26,60,Saúde,1,0
70, CE ,Ensino Superior,7234.6,16,647,9157.28,48,Viagem,5,0
34,BA,Ensino Superior,3346.77,5,619,22195.8,48,Reforma,3,1
25,RN,Ensino Médio,2509.14,13,638,11353.72,24,Viagem,1,1
64,RO,Ensino Médio,4579.72,15,548,5338.42,24,Reforma,4,1
51,RJ,Pós-graduação,9199.01,25,636,19675.72,60,Educação,3,0
52,AL,Ensino Médio,20465.51,13,627,50000.0,60,Viagem,0,0
48,PB,Ensino Superior,1913.94,25,682,12133.73,48,Viagem,0,0
63,TO,Ensino Médio,6226.79,24,628,30860.41,18,Saúde,1,0
21,RO,Ensino Médio,4533.82,14,663,13691.72,18,Saúde,4,1
61,BA,Ensino Médio,2630.5,17,711,8151.04,36,Outros,4,0
61,RN,Pós-graduação,4344.65,22,698,7384.46,60,Reforma,0,0
66,SP,Ensino Superior,4712.04,18,724,15489.03,18,Saúde,0,0
47,PR,Ensino Médio,4491.1,14,687,17274.22,48,Outros,0,0
33,RR,Ensino Médio,2211.31,8,735,12630.02,18,Veículo,3,1
27,RN,Ensino Superior,2746.1,2,626,12513.15,18,Educação,0,1
25,SP,Ensino Médio,8420.19,23,620,16401.88,36,Reforma,0,1
23,SP,Ensino Médio,9754.42,9,708,5085.33,12,Outros,0,0
68,PI,Ensino Médio,4349.64,19,590,11762.87,36,Outros,0,0
60,PI,Ensino Superior,2560.24,2,686,6766.73,24,Reforma,3,0
35,MT,Ensino Superior,8348.57,3,632,15653.59,48,Veículo,0,0
23,ES,Ensino Médio,6898.03,5,662,19767.35,36,Outros,0,0
42,CE,Ensino Superior,2110.18,22,437,11949.19,12,Educação,5,1
23,TO,Ensino Superior,2850.28,13,762,4752.91,18,Reforma,0,0
42,RN,Ensino Médio,2263.57,16,655,14511.11,12,Reforma,4,0
36,AC,Ensino Médio,2542.49,21,525,7186.42,24,Reforma,2,0
57,AL,Ensino Superior,2958.16,7,756,36726.48,12,Outros,5,1
22,PE,Pós-graduação,2020.55,2,835,4207.14,24,Outros,2,0
44,RS,Ensino Médio,2248.57,25,555,12407.17,12,Veículo,0,1
47,SP,Ensino Superior,6764.86,25,639,26520.58,48,Veículo,1,0
26,DF,Ensino Médio,7829.98,4,733,6313.31,36,Reforma,2,0
49,SE,Ensino Médio,1375.08,24,780,11616.88,24,Reforma,1,0
65,TO,Ensino Superior,18876.69,22,586,9672.34,36,Outros,2,0
42,AC,Ensino Superior,6746.16,19,652,7951.11,24,Reforma,1,0
38,MA,Ensino Médio,14044.31,13,756,10545.18,36,Saúde,0,1
43,PE,Pós-graduação,6254.51,4,725,10488.88,6,Outros,5,0
35,AL,Ensino Superior,5039.14,20,613,13156.27,24,Saúde,0,0
75,AP,Pós-graduação,4764.75,12,576,33513.44,36,Reforma,2,0
30,MS,Pós-graduação,2927.64,12,591,20317.19,6,Outros,5,1
29,SC,Ensino Superior,2405.51,9,747,14084.64,24,Reforma,3,0
18,MT,Ensino Superior,7011.67,1,513,10356.48,18,Reforma,2,0
21,MA,Ensino Superior,4919.56,2,632,17501.61,48,Educação,2,1
39,ES,Ensino Fundamental,4462.78,23,572,9349.74,12,Veículo,1,0
50,TO,Ensino Superior,4891.84,18,582,6643.94,24,Educação,6,1
23,RS,Ensino Médio,6483.47,3,615,17144.04,24,Reforma,2,1
71,PA,Pós-graduação,6008.79,7,717,20727.32,18,Veículo,1,0
61,PB,Ensino Médio,2316.88,18,748,23165.88,12,Educação,0,1
49,MG,Ensino Superior,10767.65,5,613,27518.27,24,Veículo,1,0
26,MT,Ensino Superior,11845.03,7,726,13251.74,12,Veículo,0,0
28,RJ,Ensino Médio,3225.41,6,724,4290.34,48,Viagem,1,0
49,SE,Ensino Superior,30000.0,20,737,7331.27,24,Reforma,1,0
67,CE,Ensino Superior,5250.24,25,618,11285.6,24,Viagem,1,0
32,AL,Ensino Médio,22811.7,8,801,16454.95,24,Educação,1,0
48,SC,Ensino Médio,6350.81,3,679,15502.36,36,Viagem,0,0
26,RS,Ensino Médio,2577.53,22,805,12900.67,24,Outros,0,0
63,AC,Ensino Médio,3357.45,18,652,10703.67,24,Educação,1,0
61,AL,Ensino Fundamental,3374.75,13,742,18065.47,48,Veículo,0,0
44,  AL  ,Ensino Superior,5476.18,2,759,19348.18,60,Veículo,1,1
62,  DF ,Ensino Médio,1340.72,3,684,10581.16,18,Saúde,4,1
31,SP,Ensino Médio,1860.97,10,728,30311.04,18,Viagem,4,1
19,PA,Ensino Superior,1903.56,3,634,9881.52,48,Viagem,0,1
73,MT,Ensino Médio,2470.8,15,645,10459.49,36,Saúde,4,0
69,BA,Pós-graduação,2531.79,20,596,9360.88,18,Viagem,0,0
27,AL,Ensino Superior,6075.52,24,623,19932.18,24,Educação,0,1
67,PI,Pós-graduação,3035.48,25,713,18821.04,18,Veículo,5,0
35,AP,Ensino Superior,3943.87,6,600,14216.53,48,Saúde,1,0
59,RN,Ensino Superior,3394.81,9,545,7203.69,36,Veículo,0,1
27,ES,Ensino Superior,4254.87,22,769,13479.9,12,Educação,2,0
20,RO,Ensino Superior,3735.85,1,577,15736.29,24,Veículo,4,1
59,RS,Ensino Superior,2313.65,9,657,3134.63,18,Reforma,1,0
37,RO,Ensino Médio,2097.66,12,765,18958.11,12,Outros,4,1
39,AM,Ensino Médio,2422.87,15,623,7200.66,24,Outros,0,0
68,SC,Ensino Médio,3465.82,21,750,21034.03,24,Viagem,0,0
60,PA,Ensino Médio,7138.17,3,639,6820.51,18,Educação,0,1
67,AM,Ensino Médio,3992.42,14,593,25712.79,36,Viagem,0,0
47,PA,Ensino Médio,2738.15,9,709,13871.54,36,Viagem,0,0
55,RN,Ensino Superior,3793.88,18,673,3977.27,24,Educação,2,0
60,GO,Ensino Superior,6726.3,22,822,11033.04,36,Reforma,2,0
23,PA,Ensino Superior,6831.36,7,639,15701.6,36,Saúde,5,0
73,RN,Ensino Superior,1217.3,10,630,5326.22,6,Veículo,4,1
52, GO  ,Ensino Superior,6176.99,13,564,14236.46,60,Saúde,1,1
57,GO,Ensino Superior,5416.12,2,609,13476.52,18,Educação,3,0
61,CE,Ensino Médio,6902.47,5,671,22945.7,48,Saúde,0,0
44,DF,Ensino Médio,7964.74,15,653,10140.39,12,Reforma,3,0
30,RN,Ensino Fundamental,3117.48,25,601,15463.69,36,Veículo,2,1
67,PB,Ensino Médio,3263.59,19,543,12322.96,24,Educação,0,1
64,RS,Ensino Fundamental,8572.91,21,504,3573.41,6,Veículo,0,0
62,AL,Ensino Médio,1842.71,8,625,9641.43,36,Veículo,1,1
21,BA,Ensino Superior,3202.68,2,589,14449.3,36,Educação,0,1
19,RS,Ensino Médio,4695.26,2,675,9668.11,60,Outros,0,1
70,RJ,Ensino Médio,1676.92,13,438,16487.53,36,Veículo,0,0
38,AP,Ensino Médio,2178.55,13,703,13423.27,18,Outros,0,1
24,AM,Ensino Fundamental,3416.76,9,636,8866.06,60,Viagem,1,0
71,TO,Ensino Fundamental,5596.92,3,825,7138.51,12,Reforma,2,0
24,TO,Ensino Superior,10665.82,6,538,21350.06,36,Reforma,2,1
74,MS,Ensino Superior,2212.67,19,529,12312.93,12,Veículo,0,1
74,AP,Ensino Superior,5400.57,21,614,12628.62,12,Reforma,5,1
33,SP,Ensino Médio,5498.86,14,586,15942.98,12,Reforma,3,1
46,PA,Ensino Médio,14999.2,10,640,4375.94,18,Reforma,0,0
31,DF,Pós-graduação,20053.54,16,600,30959.24,36,Educação,5,0
62,AM,Ensino Médio,2268.45,23,850,11354.98,48,Educação,6,0
63,MA,Ensino Superior,11118.59,5,723,12183.09,48,Veículo,1,0
53,AL,Ensino Superior,5940.78,5,644,12552.36,12,Educação,2,0
41,SE,Ensino Superior,2847.48,22,654,3473.25,24,Outros,5,0
70,BA,Pós-graduação,1474.86,2,519,19082.16,24,Veículo,2,1
68,GO,Ensino Médio,1376.27,11,720,20550.75,36,Reforma,4,0
67,MS,Ensino Médio,1680.65,25,570,11441.09,24,Reforma,1,1
34,SC,Ensino Superior,1410.46,17,633,9985.52,36,Educação,2,0
36,CE,Ensino Médio,3122.22,8,725,22026.17,36,Viagem,1,0
39,MS,Ensino Médio,1583.58,13,629,3263.81,24,Viagem,6,0
45,PI,Ensino Fundamental,3137.87,25,629,17350.2,36,Outros,4,0
58,MG,Ensino Superior,1285.98,21,564,9926.0,36,Educação,0,1
55,RS,Ensino Fundamental,3128.34,17,439,16022.24,24,Viagem,3,1
67,RN,Pós-graduação,5757.9,19,665,17612.86,24,Veículo,0,0
68,PA,Ensino Superior,1628.43,1,773,15348.34,60,Saúde,0,1
25,AC,Ensino Médio,4234.99,19,741,10113.26,12,Viagem,5,0
25,GO,Ensino Médio,2139.85,5,671,9345.89,12,Veículo,6,1
46,AP,Ensino Superior,3237.81,1,660,13983.73,48,Reforma,5,0
68,ES,Ensino Médio,9808.77,24,706,8132.89,24,Educação,0,0
46,MG,Ensino Superior,6286.38,21,541,6495.48,6,Educação,3,0
59,RS,Ensino Médio,9171.24,20,696,33626.32,12,Reforma,2,0
45,SC,Ensino Superior,13364.8,4,658,21851.14,12,Saúde,2,0
23,DF,Ensino Médio,4924.28,4,690,8653.72,24,Veículo,1,0
29,MG,Ensino Superior,4461.64,14,666,16282.56,24,Outros,2,0
37,ES,Ensino Superior,10004.98,13,666,22005.22,48,Reforma,3,0
25,PA,Ensino Médio,3953.66,18,850,11152.77,48,Outros,0,0
22,DF,Ensino Superior,2474.59,5,652,18656.95,6,Educação,0,1
48,AM,Ensino Superior,2525.6,18,691,4722.87,24,Reforma,1,0
37, RN  ,Ensino Médio,2512.43,13,517,9949.06,60,Reforma,1,1
43, PB ,Ensino Médio,1465.88,13,654,13138.86,36,Saúde,4,0
45,PE,Ensino Superior,2984.89,3,627,4728.75,18,Veículo,3,0
29,CE,Ensino Médio,2312.28,6,601,17424.12,48,Saúde,0,0
74, PI  ,Ensino Médio,3135.54,10,722,28344.29,60,Saúde,0,0
66,RJ,Ensino Médio,3674.05,6,687,5404.25,36,Outros,4,0
65,SC,Pós-graduação,2511.06,23,532,19770.94,48,Reforma,4,0
59,RS,Ensino Médio,7319.51,19,800,22977.05,6,Veículo,1,0
62,SP,Pós-graduação,4954.41,20,526,8742.18,18,Reforma,5,0
71,ES,Ensino Superior,2223.34,13,607,5542.6,24,Veículo,0,0
67,MG,Ensino Superior,3203.62,18,600,25429.16,36,Reforma,1,0
29,GO,Ensino Superior,3336.07,4,775,13247.42,12,Veículo,3,0
47,ES,Ensino Médio,3380.92,10,729,27660.59,12,Saúde,0,1
19,PB,Ensino Médio,4884.07,4,744,9826.69,36,Veículo,3,0
73,MT,Ensino Superior,2055.27,6,669,14950.22,24,Outros,0,0
25,ES,Ensino Superior,3107.35,2,590,13424.12,48,Reforma,3,0
18,PA,Ensino Superior,6533.51,16,658,17446.3,18,Veículo,0,0
68,RO,Pós-graduação,2576.75,10,530,12109.54,24,Reforma,0,0
26,DF,Ensino Superior,11425.67,25,470,26393.69,18,Veículo,3,0
33,PR,Ensino Superior,2598.46,1,730,38822.65,18,Reforma,0,1
30,PR,Ensino Superior,4449.33,19,696,11163.51,24,Saúde,2,0
26,MG,Ensino Médio,7349.77,18,601,6658.76,24,Outros,0,0
35,SP,Ensino Médio,5925.51,6,453,26284.3,60,Saúde,0,1
58,PR,Ensino Médio,4245.29,15,645,13159.31,12,Veículo,2,0
45,CE,Ensino Fundamental,8005.93,7,639,6216.13,24,Veículo,2,0
39,RO,Ensino Médio,5586.88,15,647,8851.87,36,Educação,3,0
50,AL,Ensino Médio,3724.71,22,690,9232.16,48,Saúde,4,0
70,CE,Ensino Médio,3511.69,12,712,26226.15,12,Outros,1,0
49,AP,Ensino Médio,8127.9,1,420,7341.78,24,Veículo,2,0
51,PE,Ensino Superior,19577.36,6,632,16093.01,12,Veículo,1,0
42,GO,Ensino Superior,3337.11,24,491,13586.72,60,Reforma,0,0
29,BA,Ensino Fundamental,1511.31,16,703,9917.95,12,Reforma,6,1
63,SC,Ensino Médio,3939.18,18,624,23454.82,12,Reforma,0,0
23,AL,Ensino Médio,6546.95,20,710,15967.74,6,Saúde,0,0
38,AP,Ensino Médio,9361.78,25,471,24498.78,36,Reforma,1,0
19,RR,Ensino Médio,4639.68,4,773,48751.52,12,Educação,5,1
70,AM,Ensino Superior,6629.15,22,735,7349.97,36,Outros,1,0
69,PE,Ensino Médio,11102.39,23,820,10919.69,24,Veículo,2,0
72,MT,Ensino Superior,8150.93,8,670,8773.48,24,Educação,5,0
41,MG,Ensino Superior,4722.37,18,575,11926.61,36,Educação,3,0
49,RR,Ensino Superior,1954.21,2,735,16299.31,48,Outros,3,0
37,RR,Ensino Médio,1679.28,22,695,23340.01,36,Outros,1,0
50,BA,Pós-graduação,8702.95,25,533,12017.76,24,Educação,2,0
19,AC,Ensino Fundamental,2986.76,3,658,7369.25,24,Viagem,1,0
27,AM,Ensino Superior,22624.43,6,625,11611.06,12,Outros,0,0
44,CE,Ensino Superior,1943.17,16,622,12287.88,12,Reforma,7,1
22,AP,Ensino Médio,6235.72,11,633,17175.04,18,Viagem,0,0
41,PA,Ensino Superior,3201.66,12,557,12831.78,36,Veículo,0,0
22,PI,Ensino Superior,3131.28,5,648,7972.86,18,Outros,1,0
41,SE,Ensino Médio,3690.89,12,698,13116.44,24,Veículo,0,1
61,PE,Ensino Médio,3264.55,16,690,13903.36,18,Reforma,6,1
35,GO,Ensino Fundamental,2905.11,25,663,15058.49,48,Reforma,0,0
43,BA,Pós-graduação,2042.96,20,592,10142.97,24,Reforma,4,0
57, PE  ,Ensino Médio,5590.48,24,560,12742.69,18,Saúde,4,0
69,MA,Ensino Superior,2752.16,1,702,8503.58,24,Veículo,2,0
55,AC,Pós-graduação,4924.44,14,642,5344.33,60,Saúde,4,0
61,AP,Ensino Médio,3257.54,19,528,4565.8,12,Viagem,7,1
50,AM,Ensino Superior,4338.02,20,752,9004.06,48,Veículo,0,0
48,RO,Ensino Médio,1769.86,17,642,9967.92,36,Saúde,2,0
37,DF,Ensino Superior,2465.36,7,693,12437.22,36,Reforma,2,0
72,RN,Ensino Médio,2579.9,4,662,7509.0,24,Educação,6,1
48,PB,Ensino Médio,4867.45,24,741,27180.5,36,Educação,0,0
45,GO,Ensino Superior,1097.73,11,679,4971.28,12,Veículo,0,1
37,RN,Ensino Médio,7267.17,15,563,14750.71,24,Viagem,2,0
41,MS,Pós-graduação,2018.9,8,683,9258.65,18,Viagem,2,1
62,AC,Ensino Superior,3947.13,25,733,7104.6,24,Educação,3,0
61,DF,Ensino Superior,3872.0,23,682,10273.59,36,Educação,0,0
37,GO,Ensino Médio,6825.83,8,568,6183.07,36,Outros,2,1
74,SC,Ensino Superior,2919.7,5,661,11476.74,18,Outros,1,0
19,PI,Ensino Superior,4025.44,12,583,12234.9,18,Reforma,1,1
23,PA,Pós-graduação,13374.61,7,577,25861.62,18,Saúde,1,0
52,PE,Ensino Superior,3397.66,16,586,36322.3,36,Veículo,0,0
61,PB,Ensino Superior,17035.74,12,702,10305.92,6,Viagem,0,0
33,DF,Ensino Superior,3852.38,5,616,7589.68,6,Educação,1,0
26,RJ,Ensino Fundamental,6105.43,17,692,11676.35,24,Veículo,0,0
65,RJ,Ensino Médio,7323.89,3,647,19131.73,36,Educação,1,0
73,TO,Pós-graduação,1599.4,9,610,7558.17,36,Veículo,1,0
24,PB,Ensino Superior,5809.15,16,701,6616.84,36,Reforma,1,0
61,SP,Ensino Médio,5130.47,6,732,7009.06,24,Educação,1,0
56,PE,Ensino Médio,4236.17,9,653,13786.0,18,Veículo,4,0
55,SC,Ensino Médio,4983.41,25,637,11707.18,36,Educação,3,1
75,MG,Ensino Médio,2939.09,16,674,5133.03,60,Educação,0,0
26,PR,Ensino Médio,1604.5,25,500,14146.76,24,Reforma,2,1
62,CE,Pós-graduação,4004.44,14,712,9995.97,18,Educação,0,0
67,AM,Ensino Superior,4415.46,14,638,33553.45,24,Outros,1,1
68,AC,Ensino Fundamental,5047.09,19,514,8121.08,18,Reforma,0,0
65,PB,Ensino Fundamental,6428.19,9,731,15572.34,60,Outros,2,0
50,RJ,Ensino Médio,10596.96,8,683,35098.28,48,Outros,2,0
32,RO,Ensino Médio,7582.56,12,562,15690.85,18,Educação,3,0
27,PR,Ensino Médio,2419.07,14,738,1864.28,24,Veículo,0,0
40,MA,Pós-graduação,4175.63,17,655,11537.44,60,Veículo,0,0
33,RO,Ensino Médio,4035.5,11,566,17011.14,24,Educação,2,1
75,BA,Ensino Médio,7035.79,15,702,6514.17,48,Veículo,6,0
23,SC,Ensino Médio,1633.29,2,555,30183.23,60,Reforma,4,1
53,AP,Ensino Médio,11496.6,5,680,8089.87,36,Outros,0,0
30,RR,Pós-graduação,5319.27,10,655,9966.75,24,Educação,0,0
25,SP,Ensino Superior,1451.28,5,563,50000.0,18,Veículo,1,1
27,MG,Ensino Superior,2955.53,9,773,15270.89,12,Veículo,6,0
73,RN,Ensino Superior,8180.04,1,649,10908.62,36,Educação,2,0
72,AP,Ensino Médio,4125.38,17,800,10107.88,12,Educação,6,0
41,AC,Ensino Médio,18385.04,1,705,15622.65,12,Outros,1,0
62,TO,Ensino Médio,3023.36,11,780,6645.19,24,Outros,0,0
29,CE,Ensino Médio,1479.52,20,641,19143.07,60,Veículo,0,0
50,MS,Ensino Superior,3419.1,22,715,9820.16,48,Veículo,1,0
18,BA,Pós-graduação,10547.27,2,615,33561.83,36,Saúde,3,0
45,DF,Ensino Superior,3132.92,8,563,16369.11,36,Reforma,5,1
57,AL,Ensino Superior,5208.27,24,767,12546.23,48,Outros,3,0
75,PI,Ensino Médio,12218.07,5,677,11905.03,18,Viagem,2,0
37,AP,Pós-graduação,3586.52,6,666,4784.22,36,Veículo,1,0
